indiv_num,hplus,rgi,datdeb_m,datdeb,salred_lowess,sexe,age,ancentr,dep,dimanc,horaic,maisoc,pnai28,samedc,zus,nivet,empnbh,paiperc,paimerc,datdeb_q,naf10,etranger,urban,in_tepa,married
112458,,3,2007m1,29jan2007,1926.6873,1,46,216,57,3,1,3,10,1,1,52,35,6,6,2007q1,GI,3,1,1,1
112458,50,5,2007m7,30jul2007,1984.3733,1,46,216,57,3,1,3,10,1,1,52,35,6,6,2007q3,GI,3,1,1,1
112458,,6,2007m10,29oct2007,2012.1155,1,47,216,57,3,1,3,10,1,1,52,28,6,6,2007q4,GI,3,1,1,1
112464,,1,2006m7,31jul2006,2218.7729,1,40,25,57,3,1,3,14,2,1,31,40,7,7,2006q3,MN,3,1,1,1
112464,,2,2006m10,30oct2006,,1,40,28,57,3,1,3,14,2,1,31,40,7,7,2006q4,MN,3,1,1,1
112464,45,3,2007m1,29jan2007,2558.6536,1,40,31,57,3,1,3,14,2,1,31,40,7,7,2007q1,MN,3,1,1,1
112464,45,4,2007m4,30apr2007,2524.1187,1,40,34,57,3,1,3,14,2,1,31,35,7,7,2007q2,MN,3,1,1,1
112464,,5,2007m7,30jul2007,2494.4719,1,41,37,57,3,1,3,14,2,1,31,40,7,7,2007q3,MN,3,1,1,1
112464,,6,2007m10,29oct2007,2471.5564,1,41,40,57,3,1,3,14,2,1,31,40,7,7,2007q4,MN,3,1,1,1
112466,,3,2007m1,29jan2007,1926.6873,1,53,324,57,3,1,3,13,3,1,73,39,6,6,2007q1,LZ,2,1,1,1
112466,45,4,2007m4,30apr2007,1954.4485,1,53,324,57,3,1,3,13,3,1,73,24,6,6,2007q2,LZ,2,1,1,1
112466,,5,2007m7,30jul2007,1984.3733,1,53,324,57,3,1,3,13,3,1,73,39,6,6,2007q3,LZ,2,1,1,1
112466,,6,2007m10,29oct2007,2012.1155,1,53,324,57,3,1,3,13,3,1,73,24,6,6,2007q4,LZ,2,1,1,1
112467,,2,2006m10,30oct2006,1509.9816,0,41,41,57,1,1,3,13,1,1,41,35,6,6,2006q4,MN,2,1,1,1
112467,,3,2007m1,29jan2007,1518.1886,0,42,44,57,1,1,3,13,1,1,41,35,6,6,2007q1,MN,2,1,1,1
112467,40,4,2007m4,30apr2007,1524.0109,0,42,47,57,1,1,3,13,1,1,41,35,6,6,2007q2,MN,2,1,1,1
