indiv_num,hplus,rgi,datdeb_m,datdeb,salred_lowess,sexe,age,ancentr,dep,dimanc,horaic,maisoc,pnai28,samedc,zus,nivet,empnbh,paiperc,paimerc,datdeb_q,naf10,etranger,urban,in_tepa,married
108471,,2,2007m10,08oct2007,1655.1333,0,54,372,92,3,3,3,13,3,0,51,45,6,6,2007q4,LZ,1,1,1,1
108471,,3,2008m1,07jan2008,1658.1185,0,54,384,92,3,3,3,13,3,0,51,45,6,6,2008q1,LZ,1,1,1,1
108471,,4,2008m4,07apr2008,1659.9291,0,54,384,92,3,3,3,13,3,0,51,45,6,6,2008q2,LZ,1,1,1,1
108519,,1,2006m9,11sep2006,2709.6914,1,47,65,85,2,3,1,10,2,0,31,50,1,1,2006q3,GI,1,0,1,0
108519,,2,2006m12,11dec2006,2782.3054,1,47,68,85,2,3,1,10,2,0,31,50,1,1,2006q4,GI,1,0,1,0
108519,,3,2007m3,12mar2007,2809.8606,1,47,71,85,2,3,1,10,2,0,31,50,1,1,2007q1,GI,1,0,1,0
108519,,4,2007m6,11jun2007,2758.4761,1,48,74,85,2,3,1,10,2,0,31,50,1,1,2007q2,GI,1,0,1,0
108519,,5,2007m9,10sep2007,2700.6638,1,48,77,85,2,3,1,10,2,0,31,50,1,1,2007q3,GI,1,0,1,0
108519,,6,2007m12,10dec2007,2676.8184,1,48,80,85,2,3,1,10,2,0,31,50,1,1,2007q4,GI,1,0,1,0
108534,,1,2006m9,11sep2006,1696.5269,1,44,300,85,3,1,3,10,2,0,52,38,1,1,2006q3,BE,1,0,1,0
108534,50,2,2006m12,11dec2006,1692.0018,1,44,300,85,3,1,3,10,2,0,52,48,1,1,2006q4,BE,1,0,1,0
108534,47,3,2007m3,12mar2007,1875.8251,1,45,312,85,3,1,3,10,2,0,52,36,1,1,2007q1,BE,1,0,1,0
